;co2;humidity;temperature;timestamp;month;day;time
9118;416;35.8568;20.4838;5;11;17;04:08:20
9119;415;35.8572;20.4837;5;11;17;04:09:20
9120;415;35.8572;20.4837;5;11;17;04:09:20
9121;414;35857;20.4837;5;11;17;04:10:20
9122;419;35.8568;20.4836;5;11;17;04:11:20
9123;419;35.8568;20.4836;5;11;17;04:11:20
9124;421;35.8568;20.4837;5;11;17;04:12:20
9125;420;35857;20.4837;5;11;17;04:13:20
9126;418;35.8569;20.4837;5;11;17;04:14:20
9127;420;35.8571;20.4836;5;11;17;04:15:20
9128;418;35.8571;20.4836;5;11;17;04:16:20
9129;418;35.8571;20.4836;5;11;17;04:16:20
9130;417;35.8568;20.4837;5;11;17;04:17:20
9131;421;35857;20.4837;5;11;17;04:18:20
9132;420;35857;20.4837;5;11;17;04:19:20
9133;418;35857;20.4837;5;11;17;04:20:20
9134;420;35.8571;20.4836;5;11;17;04:21:20
9135;421;35.8567;20.4837;5;11;17;04:22:20
9136;422;35.8575;20.4837;5;11;17;04:23:20
9137;422;35.8575;20.4837;5;11;17;04:23:20
9138;424;35857;20.4837;5;11;17;04:24:20
9139;422;35857;20.4836;5;11;17;04:25:20
9140;422;35.8572;20.4836;5;11;17;04:26:20
9141;420;35.8571;20.4837;5;11;17;04:27:20
9142;417;35.8572;20.4836;5;11;17;04:28:20
9143;417;35.8569;20.4836;5;11;17;04:29:20
9144;422;35857;20.4836;5;11;17;04:30:20
9145;421;35.8576;20.4836;5;11;17;04:31:20
9146;423;35.8572;20.4836;5;11;17;04:32:20
9147;420;35.8569;20.4836;5;11;17;04:33:20
9148;420;35.8571;20.4836;5;11;17;04:34:20
9149;420;35.8576;20.4837;5;11;17;04:35:20
9150;419;35.8573;20.4837;5;11;17;04:36:20
9151;419;35.8572;20.4837;5;11;17;04:37:20
9152;417;35.8571;20.4836;5;11;17;04:38:20
9153;410;35.8573;20.4837;5;11;17;04:39:20
9154;410;35.8573;20.4837;5;11;17;04:39:20
9155;410;35.8573;20.4837;5;11;17;04:39:20
9156;408;35.8574;20.4836;5;11;17;04:40:20
9157;416;35.8571;20.4837;5;11;17;04:41:20
9158;418;35.8571;20.4836;5;11;17;04:42:20
9159;413;35.8573;20.4837;5;11;17;04:43:20
9160;418;35.8573;20.4835;5;11;17;04:44:20
9161;422;35.8576;20.4836;5;11;17;04:45:20
9162;422;35.8572;20.4835;5;11;17;04:46:20
9163;418;35.8572;20.4835;5;11;17;04:47:20
9164;418;35.8572;20.4835;5;11;17;04:48:20
9165;418;35.8572;20.4835;5;11;17;04:48:20
9166;424;35.8573;20.4835;5;11;17;04:49:20
9167;425;35.8573;20.4835;5;11;17;04:50:20
9168;423;35.8575;20.4836;5;11;17;04:51:20
9169;417;35.8573;20.4835;5;11;17;04:52:20
9170;418;35.8572;20.4836;5;11;17;04:53:20
9171;427;35.8574;20.4836;5;11;17;04:54:20
9172;426;35.8573;20.4835;5;11;17;04:55:20
9173;419;35.8575;20.4835;5;11;17;04:56:20
9174;421;35.8571;20.4835;5;11;17;04:57:20
9175;420;35.8573;20.4835;5;11;17;04:58:20
9176;422;35.8571;20.4835;5;11;17;04:59:20
9177;422;35.8571;20.4835;5;11;17;04:59:20
9178;414;35.8575;20.4835;5;11;17;05:00:20
9179;417;35.8573;20.4836;5;11;17;05:01:20
9180;418;35.8574;20.4835;5;11;17;05:02:20
9181;417;35.8573;20.4836;5;11;17;05:03:20
9182;416;35.8574;20.4836;5;11;17;05:04:20
9183;419;35.8573;20.4835;5;11;17;05:05:20
9184;419;35.8573;20.4835;5;11;17;05:05:20
9185;414;35.8576;20.4835;5;11;17;05:06:20
9186;415;35.8574;20.4836;5;11;17;05:07:20
9187;414;35.8574;20.4835;5;11;17;05:08:20
9188;411;35.8577;20.4836;5;11;17;05:09:20
9189;411;35.8574;20.4836;5;11;17;05:10:20
9190;406;35.8574;20.4835;5;11;17;05:11:20
9191;420;35.8574;20.4835;5;11;17;05:12:20
9192;420;35.8572;20.4836;5;11;17;05:13:20
9193;420;35.8572;20.4836;5;11;17;05:13:20
9194;421;35.8574;20.4835;5;11;17;05:14:20
9195;421;35.8574;20.4835;5;11;17;05:15:20
9196;422;35.8575;20.4835;5;11;17;05:16:20
9197;418;35.8573;20.4835;5;11;17;05:17:20
9198;418;35.8573;20.4835;5;11;17;05:17:20
9199;414;35.8571;20.4835;5;11;17;05:18:20
9200;414;35.8571;20.4835;5;11;17;05:18:20
9201;420;35.8574;20.4835;5;11;17;05:19:20
9202;422;35.8578;20.4834;5;11;17;05:20:20
9203;422;35.8575;20.4835;5;11;17;05:21:20
9204;421;35.8574;20.4834;5;11;17;05:22:20
9205;416;35.8573;20.4835;5;11;17;05:23:20
9206;417;35.8577;20.4834;5;11;17;05:24:20
9207;415;35.8577;20.4835;5;11;17;05:25:20
9208;414;35.8578;20.4833;5;11;17;05:26:20
9209;415;35.8573;20.4834;5;11;17;05:27:20
9210;416;35.8576;20.4834;5;11;17;05:28:20
9211;416;35.8577;20.4834;5;11;17;05:29:20
9212;419;35.8575;20.4834;5;11;17;05:30:20
9213;419;35.8575;20.4835;5;11;17;05:31:20
9214;415;35.8573;20.4835;5;11;17;05:32:20
9215;416;35.8577;20.4834;5;11;17;05:33:20
9216;418;35.8579;20.4833;5;11;17;05:34:20
9217;417;35.8577;20.4835;5;11;17;05:35:20
9218;417;35.8577;20.4835;5;11;17;05:35:20
9219;418;35.8574;20.4834;5;11;17;05:36:20
9220;418;35.8574;20.4834;5;11;17;05:36:20
9221;420;35.8575;20.4833;5;11;17;05:37:20
9222;420;35.8575;20.4833;5;11;17;05:37:20
9223;419;35.8575;20.4834;5;11;17;05:38:20
9224;422;35.8579;20.4834;5;11;17;05:39:20
9225;423;35.8574;20.4833;5;11;17;05:40:20
9226;422;35.8575;20.4834;5;11;17;05:41:20
9227;425;35.8574;20.4834;5;11;17;05:42:20
9228;427;35.8576;20.4834;5;11;17;05:43:20
9229;421;35.8576;20.4834;5;11;17;05:44:20
9230;418;35.8577;20.4834;5;11;17;05:45:20
9231;416;35.8574;20.4834;5;11;17;05:46:20
9232;415;35.8578;20.4834;5;11;17;05:47:20
9233;415;35.8578;20.4834;5;11;17;05:47:20
9234;416;35.8576;20.4834;5;11;17;05:48:20
